# 包长直方图: baseline-no-padding
# bin_start	bin_end	count
0	10	0
10	20	0
20	30	0
30	40	0
40	50	0
50	60	0
60	70	0
70	80	0
80	90	0
90	100	32
100	110	0
110	120	0
120	130	34
130	140	0
140	150	0
150	160	0
160	170	0
170	180	0
180	190	0
190	200	31
200	210	0
210	220	0
220	230	0
230	240	0
240	250	0
250	260	0
260	270	0
270	280	0
280	290	0
290	300	0
300	310	0
310	320	0
320	330	24
330	340	0
340	350	0
350	360	0
360	370	0
370	380	0
380	390	0
390	400	0
400	410	0
410	420	0
420	430	0
430	440	0
440	450	0
450	460	0
460	470	0
470	480	0
480	490	0
490	500	0
500	510	0
510	520	32
520	530	0
530	540	0
540	550	0
550	560	0
560	570	0
570	580	0
580	590	0
590	600	0
600	610	0
610	620	0
620	630	0
630	640	0
640	650	0
650	660	0
660	670	0
670	680	0
680	690	0
690	700	0
700	710	0
710	720	0
720	730	0
730	740	0
740	750	0
750	760	0
760	770	38
770	780	0
780	790	0
790	800	0
800	810	0
810	820	0
820	830	0
830	840	0
840	850	0
850	860	0
860	870	0
870	880	0
880	890	0
890	900	0
900	910	0
910	920	0
920	930	0
930	940	0
940	950	0
950	960	0
960	970	29
970	980	0
980	990	0
990	1000	0
1000	1010	0
1010	1020	0
1020	1030	0
1030	1040	0
1040	1050	0
1050	1060	0
1060	1070	0
1070	1080	0
1080	1090	0
1090	1100	0
1100	1110	0
1110	1120	0
1120	1130	0
1130	1140	0
1140	1150	0
1150	1160	0
1160	1170	0
1170	1180	0
1180	1190	0
1190	1200	0
1200	1210	0
1210	1220	0
1220	1230	0
1230	1240	0
1240	1250	0
1250	1260	0
1260	1270	0
1270	1280	0
1280	1290	0
1290	1300	0
1300	1310	0
1310	1320	0
1320	1330	0
1330	1340	0
1340	1350	0
1350	1360	0
1360	1370	0
1370	1380	0
1380	1390	0
1390	1400	0
1400	1410	0
1410	1420	0
1420	1430	0
1430	1440	0
1440	1450	0
1450	1460	0
1460	1470	0
1470	1480	0
1480	1490	0
1490	1500	0
1500	1510	0
1510	1520	0
1520	1530	0
1530	1540	0
1540	1550	0
1550	1560	0
1560	1570	0
1570	1580	0
1580	1590	0
1590	1600	0
