# 包长直方图: mode-random-range
# bin_start	bin_end	count
0	10	0
10	20	0
20	30	0
30	40	0
40	50	0
50	60	0
60	70	0
70	80	0
80	90	0
90	100	0
100	110	0
110	120	0
120	130	0
130	140	0
140	150	0
150	160	0
160	170	0
170	180	0
180	190	0
190	200	0
200	210	0
210	220	0
220	230	0
230	240	0
240	250	0
250	260	0
260	270	0
270	280	0
280	290	0
290	300	0
300	310	0
310	320	0
320	330	0
330	340	0
340	350	0
350	360	0
360	370	0
370	380	0
380	390	0
390	400	0
400	410	0
410	420	0
420	430	0
430	440	0
440	450	0
450	460	0
460	470	0
470	480	0
480	490	0
490	500	0
500	510	0
510	520	0
520	530	0
530	540	0
540	550	0
550	560	0
560	570	0
570	580	0
580	590	0
590	600	0
600	610	0
610	620	0
620	630	0
630	640	0
640	650	0
650	660	0
660	670	0
670	680	0
680	690	0
690	700	0
700	710	0
710	720	0
720	730	0
730	740	0
740	750	0
750	760	0
760	770	0
770	780	0
780	790	3
790	800	1
800	810	7
810	820	1
820	830	3
830	840	3
840	850	2
850	860	4
860	870	4
870	880	1
880	890	2
890	900	3
900	910	3
910	920	4
920	930	1
930	940	5
940	950	3
950	960	3
960	970	2
970	980	2
980	990	3
990	1000	5
1000	1010	5
1010	1020	2
1020	1030	6
1030	1040	5
1040	1050	3
1050	1060	2
1060	1070	3
1070	1080	3
1080	1090	4
1090	1100	4
1100	1110	3
1110	1120	3
1120	1130	4
1130	1140	2
1140	1150	1
1150	1160	1
1160	1170	5
1170	1180	5
1180	1190	3
1190	1200	3
1200	1210	4
1210	1220	6
1220	1230	2
1230	1240	5
1240	1250	4
1250	1260	7
1260	1270	6
1270	1280	3
1280	1290	1
1290	1300	1
1300	1310	2
1310	1320	2
1320	1330	2
1330	1340	5
1340	1350	3
1350	1360	5
1360	1370	4
1370	1380	3
1380	1390	3
1390	1400	2
1400	1410	5
1410	1420	4
1420	1430	4
1430	1440	2
1440	1450	2
1450	1460	1
1460	1470	0
1470	1480	0
1480	1490	0
1490	1500	0
1500	1510	0
1510	1520	0
1520	1530	0
1530	1540	0
1540	1550	0
1550	1560	0
1560	1570	0
1570	1580	0
1580	1590	0
1590	1600	0
